Date,ActivePower,ReactivePower,Voltage,Kitchen,Laundry,HVAC
2006-12-16,1209.176,34.922,236.24376262626262,0,546,4926
2006-12-17,3390.46,226.006,240.0870277777778,2033,4187,13341
2006-12-18,2203.826,161.792,241.23169444444446,1063,2621,14018
2006-12-19,1666.194,150.942,241.9993125,839,7602,6197
2006-12-20,2225.748,160.998,242.3080625,0,2648,14063
2006-12-21,1716.624,144.166,241.04054937413073,1765,2623,10421
2006-12-22,2341.338,186.906,241.1845486111111,3151,350,11131
2006-12-23,4773.386,221.47,240.13607638888888,2669,425,14726
2006-12-24,2550.012,149.9,241.6874375,1703,5082,6891
2006-12-25,2743.12,240.28,243.39993055555556,6620,1962,5795
2006-12-26,3934.11,165.102,241.6254375,1086,2533,14979
2006-12-27,1528.76,178.902,243.76736111111111,0,314,6976
2006-12-28,2072.638,208.876,243.26833333333335,2207,4419,9176
2006-12-29,3174.392,196.394,240.87130555555555,1252,5162,11329
2006-12-30,2789.302,311.928,240.54068845618914,3072,7891,12480
2006-12-31,3494.196,150.852,239.8965763888889,0,347,6502
2007-01-01,2749.004,148.166,240.12897916666665,0,352,5880
2007-01-02,1269.236,190.342,241.94377777777777,0,348,6562
2007-01-03,1014.054,196.728,243.55709027777777,0,344,4765
2007-01-04,3259.412,202.302,239.7502986111111,1051,7597,10896
2007-01-05,2713.364,173.154,240.4957638888889,1483,379,7602
2007-01-06,1508.378,192.188,239.67305555555555,1336,402,5678
2007-01-07,2447.62,246.074,240.9024861111111,1987,8177,12810
2007-01-08,2241.36,207.568,239.5769513888889,0,467,17547
2007-01-09,1869.054,207.248,240.48752083333332,1688,4267,9790
2007-01-10,2154.8,228.452,241.0274513888889,771,4456,11012
2007-01-11,2255.194,230.02,241.1556875,1378,2170,12415
2007-01-12,1461.296,199.14,241.53820833333333,0,439,8276
2007-01-13,3186.814,290.736,239.2836111111111,7806,2975,11341
2007-01-14,3007.816,227.12,238.82184850590687,1777,4215,12975
2007-01-15,2148.678,174.86,241.24090972222223,1099,2239,15163
2007-01-16,1686.404,185.428,241.94475694444444,2063,644,6583
2007-01-17,2847.688,200.752,241.00525,3500,5737,16064
2007-01-18,1821.462,177.712,240.8935972222222,0,336,13491
2007-01-19,1480.44,170.052,240.16094444444445,2103,330,7172
2007-01-20,3133.732,238.362,238.86747222222223,4324,5222,11440
2007-01-21,3407.262,229.736,238.96811805555555,10346,5567,11599
2007-01-22,2180.494,168.642,241.60313194444444,1054,2983,11361
2007-01-23,1777.64,138.28,242.76255555555556,0,1064,5061
2007-01-24,2987.854,178.06,241.45769444444446,3464,2480,11744
2007-01-25,1596.344,144.16,243.4243611111111,1158,262,11239
2007-01-26,1617.972,142.902,242.77179166666667,1163,261,8238
2007-01-27,2044.072,148.242,241.61656944444445,1170,3896,12374
2007-01-28,3090.204,153.352,240.30478804725504,3466,3997,12045
2007-01-29,1982.664,165.696,240.9295972222222,1123,294,15254
2007-01-30,1707.798,180.934,241.840875,1123,1424,8149
2007-01-31,2363.752,185.988,239.92113194444445,0,5950,15052
2007-02-01,1824.76,150.264,240.3921388888889,1170,386,13145
2007-02-02,1667.736,139.542,240.3343888888889,0,356,11338
2007-02-03,4029.722,245.824,238.91019444444444,4746,4573,17834
2007-02-04,3595.94,186.494,239.63333333333333,3391,4597,14472
2007-02-05,1645.28,147.228,240.8103125,896,2564,7849
2007-02-06,1273.48,142.566,241.26415972222222,1185,405,4517
2007-02-07,2328.018,177.708,241.14969444444444,3299,3513,11986
2007-02-08,1801.414,138.896,241.79730555555557,2226,366,10157
2007-02-09,1620.198,158.066,241.74044444444445,0,3045,9770
2007-02-10,2829.328,192.974,240.0368263888889,5071,2831,14405
2007-02-11,3571.228,204.314,239.50614583333333,2430,4765,13114
2007-02-12,1877.61,136.704,240.0985,2227,399,11517
2007-02-13,1414.546,134.678,241.16685416666667,0,2828,6256
2007-02-14,2498.672,202.506,240.3753888888889,3295,3793,11579
2007-02-15,1985.346,165.964,240.66922222222223,0,2363,14028
2007-02-16,1702.528,151.686,240.82094444444445,1148,859,8689
2007-02-17,2076.912,238.968,239.3160347222222,1765,2226,7157
2007-02-18,3829.762,255.522,239.17080555555555,6107,8003,13129
2007-02-19,2186.614,176.584,239.78958333333333,1634,2900,13085
2007-02-20,3149.928,187.158,239.86544444444445,2058,5191,9713
2007-02-21,2072.874,189.87,240.46096527777777,3527,2332,11548
2007-02-22,3369.478,137.954,238.62353963838666,1409,4129,12251
2007-02-23,1313.48,149.344,240.68596527777777,0,503,10786
2007-02-24,714.922,122.202,239.86310416666666,0,363,3562
2007-02-25,501.74,113.736,241.6815486111111,0,329,1660
2007-02-26,568.484,108.28,241.27359027777777,0,331,2830
2007-02-27,518.112,113.204,242.94427083333332,0,314,1924
2007-02-28,520.774,113.372,242.15959027777777,0,340,1973
2007-03-01,517.564,107.628,241.3214027777778,0,316,1980
2007-03-02,515.688,107.008,240.59159722222222,0,340,1969
2007-03-03,819.122,134.992,241.28808333333333,0,347,4597
2007-03-04,2090.7,175.682,240.02979861111112,1476,8711,9408
2007-03-05,2660.332,205.956,240.03090972222222,5727,12109,10026
2007-03-06,1246.5,186.148,240.98806944444445,0,1740,4700
2007-03-07,2375.206,171.2,240.3235625,1076,4761,15513
2007-03-08,1572.132,187.404,240.66542361111112,2180,3385,6655
2007-03-09,1272.612,119.238,240.88846527777778,1093,345,8631
2007-03-10,2484.712,243.528,239.80283333333333,4130,5422,10979
2007-03-11,3480.636,173.374,240.00729166666667,4810,3420,9500
2007-03-12,1950.668,134.422,240.55871527777776,1403,2841,12353
2007-03-13,1290.144,126.718,240.89796527777779,1350,3859,5323
2007-03-14,1793.364,157.522,240.77729166666666,3485,480,8607
2007-03-15,1884.814,159.326,240.28049305555555,0,3263,11036
2007-03-16,1702.054,130.208,239.52713194444445,1106,4604,5370
2007-03-17,2028.09,127.068,238.22465277777778,2208,359,12275
2007-03-18,2371.046,241.45,241.04781944444446,6564,7369,5856
2007-03-19,2152.518,144.764,240.49709027777777,1648,2686,14118
2007-03-20,2086.228,164.87,240.81563888888888,3745,2837,11255
2007-03-21,2142.092,142.83,240.98664583333334,1865,4133,12335
2007-03-22,1454.978,113.826,241.76352777777777,353,736,10462
2007-03-23,1309.008,119.488,241.64547916666666,1127,777,8369
2007-03-24,2968.43,191.024,239.70447222222222,3707,5797,16382
2007-03-25,3336.124,235.972,240.03275886031966,4630,3600,9358
2007-03-26,1416.082,160.966,241.3368125,1088,344,9096
2007-03-27,1105.14,151.726,240.60197916666667,0,3019,3697
2007-03-28,2333.898,196.518,240.4446111111111,1122,8527,13888
2007-03-29,1590.406,198.696,240.5366875,1162,460,10724
2007-03-30,1402.394,181.128,241.03922916666667,1094,468,8217
2007-03-31,3509.51,231.504,239.26077083333334,2620,7707,17682
2007-04-01,2785.9519999999998,202.552,240.02448611111112,4629,5401,19509
2007-04-02,1960.778,174.336,240.46011805555557,1755,970,16641
2007-04-03,1642.82,168.76,240.50495833333332,3630,1042,7637
2007-04-04,2051.868,172.318,240.3317847222222,3434,420,14748
2007-04-05,1844.078,244.538,241.17310416666666,1086,4277,10523
2007-04-06,1601.14,143.214,241.1844513888889,0,5466,9166
2007-04-07,1553.924,138.73,240.3785902777778,1127,3111,5923
2007-04-08,1608.816,135.882,240.34918055555556,0,485,3545
2007-04-09,1000.92,160.10999999999999,240.5504861111111,2667,514,3801
2007-04-10,777.364,148.94,240.8137013888889,209,742,2572
2007-04-11,887.482,192.446,241.1548263888889,0,1112,6421
2007-04-12,537.706,147.812,240.2560625,0,541,1818
2007-04-13,551.022,151.64,240.0504861111111,0,558,1988
2007-04-14,554.268,155.61,240.31314583333332,0,578,2008
2007-04-15,726.164,171.544,240.2366875,0,1026,2893
2007-04-16,952.39,186.074,240.65713888888888,952,1305,4656
2007-04-17,1223.734,218.354,240.19566666666665,1532,389,6199
2007-04-18,998.246,165.224,240.14677777777777,1579,355,3430
2007-04-19,1028.658,149.66,240.42984027777777,733,1605,5748
2007-04-20,822.58,145.64600000000002,240.13289583333332,1069,360,3499
2007-04-21,1673.656,212.658,239.21323611111112,6575,463,11129
2007-04-22,2233.714,267.194,239.60888194444445,4264,2287,11102
2007-04-23,1054.566,135.64,237.23564583333334,1402,506,6005
2007-04-24,1032.1,135.264,235.3449236111111,1125,527,6680
2007-04-25,1264.162,164.736,234.9411111111111,0,1469,8812
2007-04-26,1275.466,163.606,234.7872986111111,1324,1845,7163
2007-04-27,1094.332,161.928,235.21616666666668,1772,545,4756
2007-04-28,22.738,2.86,233.98619047619047,0,18,0
2007-04-29,0,0,NaN,0,0,0
2007-04-30,420.822,71.718,234.87003472222221,1214,500,1131
2007-05-01,1663.858,181.608,234.6787013888889,4005,995,8546
2007-05-02,1003.486,160.092,235.58207638888888,7,1490,3754
2007-05-03,1090.238,150.942,235.1348888888889,1906,1725,7836
2007-05-04,998.128,174.74,235.71019444444445,2259,538,3990
2007-05-05,1563.052,174.102,235.03502083333333,2913,2493,11303
2007-05-06,2102.104,182.336,234.40965277777778,3215,949,10095
2007-05-07,1643.664,168.918,234.53697222222223,946,4935,9433
2007-05-08,1789.292,181.612,234.9062361111111,4581,2011,8777
2007-05-09,1665.736,183.484,234.87372222222223,3018,5631,9474
2007-05-10,707.884,168.314,235.79625694444445,946,534,3261
2007-05-11,979.154,132.096,235.22975694444443,926,491,6471
2007-05-12,1441.566,209.172,234.7229027777778,2247,1075,10408
2007-05-13,1634.738,220.67,235.70870833333333,3612,2414,8958
2007-05-14,1467.782,298.552,235.69006944444445,3176,2417,5517
2007-05-15,904.392,111.182,235.61199305555556,0,408,5318
2007-05-16,1692.944,135.894,235.26081250000001,2213,5756,9077
2007-05-17,1231.816,131.188,235.86845833333334,1014,2073,7687
2007-05-18,1631.53,171.258,235.9945972222222,3270,3913,8116
2007-05-19,1429.442,167.858,234.94472222222223,4683,530,7022
2007-05-20,1968.328,187.532,235.34811805555555,5420,1733,7611
2007-05-21,1120.062,117.28,234.69190972222222,0,468,9060
2007-05-22,1132.852,128.916,235.4805763888889,931,3966,3984
2007-05-23,1464.936,165.878,234.81249305555556,956,3792,8119
2007-05-24,1154.388,135.56,235.5460625,955,4116,4746
2007-05-25,1614.22,174.588,234.44720138888889,8060,586,6539
2007-05-26,1512.248,174.24,235.0698888888889,2373,2754,8628
2007-05-27,2153.808,219.894,234.9084375,4366,5534,10444
2007-05-28,1637.468,151.1,234.90657638888888,4554,473,9586
2007-05-29,1061.34,113.244,235.69434722222223,0,1907,4332
2007-05-30,1609.866,147.058,234.83139583333335,2250,5948,7804
2007-05-31,938.55,129.586,235.09652777777777,935,477,3552
2007-06-01,1044.918,143.182,235.32332175121613,0,483,7664
2007-06-02,1484.362,166.108,234.46902777777777,3971,1250,7633
2007-06-03,2108.026,182.458,234.762375,4985,7529,8334
2007-06-04,911.618,223.192,234.74806944444444,1585,836,4533
2007-06-05,1458.892,255.692,234.6927638888889,4484,1027,6448
2007-06-06,1693.638,231.06,234.62163307852674,3329,829,11663
2007-06-07,985.002,172.334,234.47880555555557,985,699,3959
